Player,FPTS,Positional Rank,Owner,Draft order,$,Position
Sterling Shepard (NYG),99.9,WR-59.0,Fumble .,106,2,WR
Jared Cook (NO),96.6,TE-18.0,2 Many Cooks 2 Many,131,1,TE
Zack Moss (BUF),92.0,RB-45.0,Sweetless In Seattle,75,3,RB
Raheem Mostert (SF),91.7,RB-46.0,Sweetless In Seattle,62,9,RB
George Kittle (SF),90.8,TE-20.0,Let Me Be Frankel,12,39,TE
Joe Mixon (CIN),89.1,RB-47.0,Fumble .,25,59,RB
Damien Harris (NE),88.8,RB-48.0,Sweetless In Seattle,119,1,RB
A.J. Green (CIN),87.8,WR-67.0,Just Joshin,77,12,WR
Cam Akers (LAR),87.7,RB-49.0,Tier 2 Never Felt So Good,58,14,RB
Christian McCaffrey (CAR),81.8,RB-50.0,Fumble .,3,95,RB
James White (NE),81.0,RB-51.0,Let Me Be Frankel,107,1,RB
Odell Beckham Jr. (CLE),75.3,WR-78.0,Cookin Russells,41,22,WR
Breshad Perriman (NYJ),74.2,WR-81.0,2 Many Cooks 2 Many,145,1,WR
Duke Johnson Jr. (HOU),70.4,RB-56.0,Fumble .,126,1,RB
Golden Tate (NYG),69.0,WR-87.0,Let Me Be Frankel,132,1,WR
Henry Ruggs III (LV),67.8,WR-88.0,Ice City USA,88,1,WR
Le'Veon Bell (KC),66.6,RB-61.0,Danica Gave Me A Higbee,46,17,RB
Preston Williams (MIA),65.8,WR-89.0,Favre's Wranglers,129,1,WR
John Brown (BUF),65.1,WR-90.0,Fumble .,103,2,WR
Deebo Samuel (SF),64.2,WR-93.0,Cookin Russells,100,2,WR
Michael Thomas (NO),63.9,WR-94.0,Dak's Butt Kickers,15,71,WR
Phillip Lindsay (DEN),62.5,RB-62.0,Just Joshin,97,3,RB
Kerryon Johnson (DET),62.3,RB-63.0,Ice City USA,86,3,RB
Zach Ertz (PHI),56.4,TE-33.0,Let Me Be Frankel,38,11,TE
Kenny Golladay (DET),55.8,WR-100.0,Danica Gave Me A Higbee,22,38,WR
N'Keal Harry (NE),54.7,WR-101.0,Danica Gave Me A Higbee,130,1,WR
Alexander Mattison (MIN),52.4,RB-66.0,Cookin Russells,105,1,RB
Sony Michel (NE),50.7,RB-69.0,Fumble .,147,2,RB
Mark Ingram II (BAL),46.0,RB-75.0,Dak's Butt Kickers,73,5,RB
Julian Edelman (NE),45.7,WR-109.0,Wolf Pussy,65,7,WR
Chris Herndon IV (NYJ),42.4,TE-43.0,Cookin Russells,82,1,TE
DeSean Jackson (PHI),37.8,WR-117.0,Wolf Pussy,101,1,WR
Matt Breida (MIA),37.5,RB-82.0,Let Me Be Frankel,117,1,RB
Jordan Howard (PHI),30.2,RB-86.0,2 Many Cooks 2 Many,98,2,RB
Tarik Cohen (CHI),14.5,RB-110.0,2 Many Cooks 2 Many,85,2,RB
Saquon Barkley (NYG),12.4,RB-113.0,Let Me Be Frankel,11,80,RB
Tevin Coleman (SF),10.7,RB-120.0,Let Me Be Frankel,139,1,RB
Courtland Sutton (DEN),8.1,WR-175.0,Fumble .,43,27,WR
Marlon Mack (IND),7.1,RB-128.0,Ice City USA,135,1,RB
Ryquell Armstead (JAC),0.0,RB-185.0,Sweetless In Seattle,109,1,RB
