"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"101","Dominique Dafney (GB)","1","1","13","13.0","13","0","0","0","0","0","0","4","1.8","0.5","0.0%"
"102","Daniel Brown (NYJ)","1","1","13","13.0","13","0","0","0","0","0","0","15","1.8","0.1","0.0%"
"103","Eric Saubert (JAC)","2","3","7","3.5","4","0","0","0","0","0","0","7","1.7","0.2","0.0%"
"104","Luke Willson (SEA)","1","3","12","12.0","12","0","0","0","0","0","0","8","1.7","0.2","0.1%"
"105","Josiah Deguara (GB)","1","2","12","12.0","12","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"106","Blake Jarwin (DAL)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","6.7%"
"107","Temarrick Hemingway (WAS)","1","2","10","10.0","10","0","0","0","0","0","0","8","1.5","0.2","0.0%"
"108","Jake Butt (DEN)","2","4","5","2.5","5","0","0","0","0","0","0","5","1.5","0.3","0.1%"
"109","Brandon Dillon (MIN)","1","1","6","6.0","6","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"110","Jeremy Sprinkle (WAS)","1","3","6","6.0","6","0","0","0","0","0","0","14","1.1","0.1","0.1%"
"111","Trevon Wesco (NYJ)","1","2","5","5.0","5","0","0","1","0","0","0","10","1.0","0.1","0.0%"
"112","Isaac Nauta (GB)","1","2","3","3.0","3","0","0","0","0","0","0","7","0.8","0.1","0.0%"
"113","Bruce Miller (JAC)","1","2","2","2.0","2","0","0","0","0","0","0","8","0.7","0.1","0.0%"
"114","Marcus Baugh (WAS)","1","1","2","2.0","2","0","0","0","0","0","0","6","0.7","0.1","0.0%"
"115","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"116","Antony Auclair (TB)","0","1","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"117","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"118","Mason Schreck (CIN)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"119","Jordan Leggett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Cole Hikutini (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"122","Jakob Johnson (NE)","8","9","35","4.4","12","0","1","0","0","0","0","14","0.0","0.0","0.1%"
"123","Dax Raymond (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Johnathan Howard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Josh Oliver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"126","Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Cole Wick (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Matt Sokol (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Josh Perkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
