Player,FPTS,Positional Rank,Owner,Draft order,$,Position
Stefon Diggs (BUF),254.0,WR-3.0,Wolf Pussy,74,6,WR
Mark Ingram II (BAL),46.0,RB-75.0,Dak's Butt Kickers,73,5,RB
Leonard Fournette (TB),110.3,RB-37.0,Dak's Butt Kickers,70,5,RB
Dak Prescott (DAL),139.1,QB-30.0,Dak's Butt Kickers,91,4,QB
Jerry Jeudy (DEN),107.1,WR-51.0,Cookin Russells,89,4,WR
Justin Tucker (BAL),137.0,K-6.0,Let Me Be Frankel,64,4,K
Ronald Jones II (TB),158.5,RB-17.0,Wolf Pussy,84,3,RB
Zack Moss (BUF),92.0,RB-45.0,Sweetless In Seattle,75,3,RB
Antonio Gibson (WAS),175.6,RB-13.0,Favre's Wranglers,67,3,RB
Kerryon Johnson (DET),62.3,RB-63.0,Ice City USA,86,3,RB
Phillip Lindsay (DEN),62.5,RB-62.0,Just Joshin,97,3,RB
Will Fuller V (HOU),162.4,WR-25.0,Sweetless In Seattle,95,3,WR
John Brown (BUF),65.1,WR-90.0,Fumble .,103,2,WR
Sony Michel (NE),50.7,RB-69.0,Fumble .,147,2,RB
Deebo Samuel (SF),64.2,WR-93.0,Cookin Russells,100,2,WR
Tyler Higbee (LAR),100.6,TE-17.0,Danica Gave Me A Higbee,112,2,TE
Jordan Howard (PHI),30.2,RB-86.0,2 Many Cooks 2 Many,98,2,RB
Tarik Cohen (CHI),14.5,RB-110.0,2 Many Cooks 2 Many,85,2,RB
Matt Ryan (ATL),270.6,QB-13.0,Dak's Butt Kickers,87,2,QB
Aaron Rodgers (GB),361.6,QB-4.0,Danica Gave Me A Higbee,63,2,QB
Sterling Shepard (NYG),99.9,WR-59.0,Fumble .,106,2,WR
Diontae Johnson (PIT),166.8,WR-19.0,Fumble .,116,2,WR
Harrison Butker (KC),131.0,K-9.0,Dak's Butt Kickers,66,2,K
Evan Engram (NYG),106.8,TE-15.0,Wolf Pussy,102,2,TE
Wil Lutz (NO),125.0,K-14.0,Wolf Pussy,78,2,K
Brandin Cooks (HOU),157.4,WR-28.0,Ice City USA,113,2,WR
Christian Kirk (ARI),122.4,WR-44.0,Danica Gave Me A Higbee,125,2,WR
Rob Gronkowski (TB),122.9,TE-8.0,Dak's Butt Kickers,92,2,TE
Robbie Gould (SF),106.0,K-23.0,Cookin Russells,123,1,K
Austin Seibert (CIN),24.0,K-37.0,Favre's Wranglers,155,1,K
Emmanuel Sanders (NO),117.5,WR-47.0,Sweetless In Seattle,127,1,WR
N'Keal Harry (NE),54.7,WR-101.0,Danica Gave Me A Higbee,130,1,WR
Alexander Mattison (MIN),52.4,RB-66.0,Cookin Russells,105,1,RB
Carson Wentz (PHI),213.4,QB-21.0,2 Many Cooks 2 Many,138,1,QB
DeSean Jackson (PHI),37.8,WR-117.0,Wolf Pussy,101,1,WR
Matt Breida (MIA),37.5,RB-82.0,Let Me Be Frankel,117,1,RB
Jamison Crowder (NYJ),137.4,WR-35.0,2 Many Cooks 2 Many,124,1,WR
T.J. Hockenson (DET),137.8,TE-4.0,Fumble .,118,1,TE
Hunter Henry (LAC),115.3,TE-11.0,Favre's Wranglers,121,1,TE
Tevin Coleman (SF),10.7,RB-120.0,Let Me Be Frankel,139,1,RB
Matthew Stafford (DET),246.9,QB-16.0,Favre's Wranglers,143,1,QB
Marlon Mack (IND),7.1,RB-128.0,Ice City USA,135,1,RB
Ryquell Armstead (JAC),0.0,RB-185.0,Sweetless In Seattle,109,1,RB
Josh Allen (BUF),385.4,QB-2.0,Tier 2 Never Felt So Good,42,1,QB
Tom Brady (TB),318.7,QB-8.0,Fumble .,108,1,QB
Duke Johnson Jr. (HOU),70.4,RB-56.0,Fumble .,126,1,RB
Drew Brees (NO),195.4,QB-22.0,Just Joshin,104,1,QB
Ka'imi Fairbairn (HOU),115.0,K-20.0,Danica Gave Me A Higbee,144,1,K
Mecole Hardman (KC),106.1,WR-54.0,Favre's Wranglers,151,1,WR
Joe Burrow (CIN),178.6,QB-23.0,Sweetless In Seattle,141,1,QB
Chris Boswell (PIT),100.0,K-25.0,Tier 2 Never Felt So Good,90,1,K
Adrian Peterson (DET),106.2,RB-40.0,Just Joshin,114,1,RB
Zane Gonzalez (ARI),98.0,K-27.0,Fumble .,133,1,K
