"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"176","Ashton Dulin (IND)","3","5","53","17.7","34","0","0","2","11","0","0","12","7.9","0.7","0.0%"
"177","JJ Arcega-Whiteside (PHI)","2","5","45","22.5","37","0","0","0","0","0","0","7","7.5","1.1","0.2%"
"178","Nick Westbrook-Ikhine (TEN)","3","7","33","11.0","19","0","0","0","0","0","0","13","6.8","0.5","0.0%"
"179","Steven Mitchell Jr. (HOU)","4","7","40","10.0","15","0","0","0","0","0","0","5","6.0","1.2","0.0%"
"180","Isaiah Zuber (NE)","2","2","29","14.5","16","0","0","2","21","0","0","4","6.0","1.5","0.0%"
"181","Riley Ridley (CHI)","4","4","39","9.8","18","0","0","0","0","0","0","5","5.9","1.2","0.1%"
"182","Ted Ginn Jr. (FA)","3","6","40","13.3","29","0","0","0","0","0","0","5","5.5","1.1","0.3%"
"183","Brandon Zylstra (CAR)","3","4","35","11.7","28","0","0","1","1","0","0","15","5.1","0.3","0.0%"
"184","Darrius Shepherd (FA)","5","8","46","9.2","19","0","0","0","0","0","1","8","5.1","0.6","0.0%"
"185","Seth Roberts (GB)","4","6","31","7.8","12","0","0","0","0","0","0","7","5.1","0.7","0.0%"
"186","Juwan Johnson (NO)","3","9","35","11.7","19","0","0","0","0","0","0","6","5.0","0.8","0.0%"
"187","Josh Malone (NYJ)","4","6","16","4.0","13","0","0","1","12","0","0","4","4.8","1.2","0.0%"
"188","Robert Foster (WAS)","2","6","37","18.5","28","0","0","0","0","0","0","4","4.7","1.2","0.0%"
"189","Lawrence Cager (NYJ)","2","6","35","17.5","19","0","0","0","0","0","0","2","4.5","2.3","0.0%"
"190","River Cracraft (SF)","4","7","24","6.0","8","0","0","0","0","0","0","8","4.4","0.6","0.0%"
"191","Deontay Burnett (PHI)","3","4","19","6.3","10","0","0","0","0","0","0","2","3.4","1.7","0.0%"
"192","Tavon Austin (GB)","4","4","13","3.3","6","0","0","0","0","0","0","3","3.3","1.1","0.1%"
"193","Daurice Fountain (IND)","2","3","23","11.5","12","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"194","Antonio Gandy-Golden (WAS)","1","7","3","3.0","3","0","0","1","22","0","0","6","3.0","0.5","0.5%"
"195","Antonio Callaway (FA)","2","4","20","10.0","13","0","0","0","0","0","0","5","3.0","0.6","0.0%"
"196","Tyrie Cleveland (DEN)","2","4","18","9.0","11","0","0","0","0","0","0","9","2.8","0.3","0.0%"
"197","John Ross (CIN)","2","7","17","8.5","15","0","0","0","0","0","0","3","2.7","0.9","0.8%"
