Player name,Rank,Player,FPTS,Positional Rank,Team name,Owner,Draft order,Name-Team-Pos,$,Position
Tyler Boyd,33.0,Tyler Boyd (CIN),151.4,WR-33.0,CIN,Wolf Pussy,80,"Tyler Boyd Cin, WR",10,WR
Todd Gurley II,22.0,Todd Gurley II (ATL),146.7,RB-22.0,ATL,Tier 2 Never Felt So Good,52,"Todd Gurley II Atl, RB",16,RB
David Johnson,24.0,David Johnson (HOU),143.5,RB-24.0,HOU,Tier 2 Never Felt So Good,32,"David Johnson Hou, RB",24,RB
James Conner,25.0,James Conner (PIT),138.3,RB-25.0,PIT,Tier 2 Never Felt So Good,51,"James Conner Pit, RB",16,RB
Jarvis Landry,34.0,Jarvis Landry (CLE),138.1,WR-34.0,CLE,Just Joshin,53,"Jarvis Landry Cle, WR",7,WR
T.J. Hockenson,4.0,T.J. Hockenson (DET),137.8,TE-4.0,DET,Fumble .,118,"T.J. Hockenson Det, TE",1,TE
Jamison Crowder,35.0,Jamison Crowder (NYJ),137.4,WR-35.0,NYJ,2 Many Cooks 2 Many,124,"Jamison Crowder NYJ, WR",1,WR
Michael Gallup,36.0,Michael Gallup (DAL),136.9,WR-36.0,DAL,Fumble .,72,"Michael Gallup Dal, WR",6,WR
Mark Andrews,5.0,Mark Andrews (BAL),136.4,TE-5.0,BAL,Tier 2 Never Felt So Good,39,"Mark Andrews Bal, TE",17,TE
Marquise Brown,37.0,Marquise Brown (BAL),135.4,WR-37.0,BAL,Dak's Butt Kickers,76,"Marquise Brown Bal, WR",10,WR
J.K. Dobbins,28.0,J.K. Dobbins (BAL),131.5,RB-28.0,BAL,Dak's Butt Kickers,94,"J.K. Dobbins Bal, RB",9,RB
Chris Godwin,38.0,Chris Godwin (TB),130.7,WR-38.0,TB,Just Joshin,29,"Chris Godwin TB, WR",45,WR
Austin Ekeler,31.0,Austin Ekeler (LAC),124.2,RB-31.0,LAC,Dak's Butt Kickers,23,"Austin Ekeler LAC, RB",64,RB
T.Y. Hilton,43.0,T.Y. Hilton (IND),124.0,WR-43.0,IND,Let Me Be Frankel,48,"T.Y. Hilton Ind, WR",9,WR
Rob Gronkowski,8.0,Rob Gronkowski (TB),122.9,TE-8.0,TB,Dak's Butt Kickers,92,"Rob Gronkowski TB, TE",2,TE
Devin Singletary,32.0,Devin Singletary (BUF),122.8,RB-32.0,BUF,Danica Gave Me A Higbee,68,"Devin Singletary Buf, RB",8,RB
Christian Kirk,44.0,Christian Kirk (ARI),122.4,WR-44.0,ARI,Danica Gave Me A Higbee,125,"Christian Kirk Ari, WR",2,WR
Julio Jones,45.0,Julio Jones (ATL),120.6,WR-45.0,ATL,Danica Gave Me A Higbee,26,"Julio Jones Atl, WR",52,WR
DeVante Parker,46.0,DeVante Parker (MIA),119.7,WR-46.0,MIA,Wolf Pussy,83,"DeVante Parker Mia, WR",6,WR
Emmanuel Sanders,47.0,Emmanuel Sanders (NO),117.5,WR-47.0,NO,Sweetless In Seattle,127,"Emmanuel Sanders NO, WR",1,WR
Hunter Henry,11.0,Hunter Henry (LAC),115.3,TE-11.0,LAC,Favre's Wranglers,121,"Hunter Henry LAC, TE",1,TE
Darius Slayton,48.0,Darius Slayton (NYG),112.8,WR-48.0,NYG,Favre's Wranglers,136,"Darius Slayton NYG, WR",1,WR
Noah Fant,13.0,Noah Fant (DEN),111.5,TE-13.0,DEN,2 Many Cooks 2 Many,150,"Noah Fant Den, TE",1,TE
Hayden Hurst,14.0,Hayden Hurst (ATL),110.3,TE-14.0,ATL,Sweetless In Seattle,99,"Hayden Hurst Atl, TE",1,TE
Leonard Fournette,37.0,Leonard Fournette (TB),110.3,RB-37.0,TB,Dak's Butt Kickers,70,"Leonard Fournette TB, RB",5,RB
Mike Williams,49.0,Mike Williams (LAC),109.9,WR-49.0,LAC,Favre's Wranglers,149,"Mike Williams LAC, WR",1,WR
Jerry Jeudy,51.0,Jerry Jeudy (DEN),107.1,WR-51.0,DEN,Cookin Russells,89,"Jerry Jeudy Den, WR",4,WR
Evan Engram,15.0,Evan Engram (NYG),106.8,TE-15.0,NYG,Wolf Pussy,102,"Evan Engram NYG, TE",2,TE
Adrian Peterson,40.0,Adrian Peterson (DET),106.2,RB-40.0,DET,Just Joshin,114,"Adrian Peterson Det, RB",1,RB
Mecole Hardman,54.0,Mecole Hardman (KC),106.1,WR-54.0,KC,Favre's Wranglers,151,"Mecole Hardman KC, WR",1,WR
Tyler Higbee,17.0,Tyler Higbee (LAR),100.6,TE-17.0,LAR,Danica Gave Me A Higbee,112,"Tyler Higbee LAR, TE",2,TE
Sterling Shepard,59.0,Sterling Shepard (NYG),99.9,WR-59.0,NYG,Fumble .,106,"Sterling Shepard NYG, WR",2,WR
Jared Cook,18.0,Jared Cook (NO),96.6,TE-18.0,NO,2 Many Cooks 2 Many,131,"Jared Cook NO, TE",1,TE
