"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"52","Carlos Hyde (SEA)","81","356","4.4","50","0","4","16","20","93","5.8","0","0","10","76.9","7.7","19.6%"
"53","Devontae Booker (LV)","88","407","4.6","43","0","3","17","21","84","4.9","0","0","15","75.6","5.0","24.0%"
"54","Boston Scott (PHI)","65","309","4.8","56","0","1","23","31","198","8.6","1","0","15","74.2","4.9","18.0%"
"55","Kyle Juszczyk (SF)","16","64","4.0","10","0","2","18","27","198","11.0","4","0","15","71.2","4.7","0.5%"
"56","Duke Johnson Jr. (HOU)","77","235","3.1","23","0","1","28","35","249","8.9","1","2","11","70.4","6.4","43.9%"
"57","Kalen Ballage (LAC)","78","267","3.4","17","0","2","29","37","166","5.7","0","0","10","69.8","7.0","19.7%"
"58","Joshua Kelley (LAC)","111","354","3.2","33","0","2","23","23","148","6.4","0","2","13","69.7","5.4","15.9%"
"59","Benny Snell Jr. (PIT)","108","358","3.3","30","0","4","10","14","61","6.1","0","1","15","68.9","4.6","25.2%"
"60","Brian Hill (ATL)","91","371","4.1","35","0","1","22","27","157","7.1","0","1","15","67.8","4.5","9.0%"
"61","Le'Veon Bell (KC)","82","328","4.0","16","0","2","16","20","138","8.6","0","0","11","66.6","6.1","86.3%"
"62","Phillip Lindsay (DEN)","118","502","4.3","55","0","1","7","14","28","4.0","0","0","11","62.5","5.7","38.5%"
"63","Kerryon Johnson (DET)","52","181","3.5","14","0","2","19","25","187","9.8","1","1","15","62.3","4.2","20.4%"
"64","Jordan Wilkins (IND)","84","308","3.7","22","0","1","12","16","105","8.8","0","0","15","55.3","3.7","6.6%"
"65","Samaje Perine (CIN)","54","250","4.6","46","0","3","11","12","66","6.0","0","0","15","55.1","3.7","1.5%"
"66","Alexander Mattison (MIN)","75","339","4.5","25","0","1","10","12","75","7.5","0","0","12","52.4","4.4","22.5%"
"67","Peyton Barber (WAS)","90","248","2.8","15","0","4","4","7","12","3.0","0","0","15","52.0","3.5","8.9%"
"68","Salvon Ahmed (MIA)","69","290","4.2","31","0","2","8","11","42","5.3","0","0","5","51.2","10.2","36.2%"
"69","Sony Michel (NE)","63","373","5.9","48","0","1","4","6","54","13.5","0","0","8","50.7","6.3","16.7%"
"70","DeeJay Dallas (SEA)","34","108","3.2","13","0","2","17","20","111","6.5","1","0","12","48.4","4.0","4.2%"
"71","Ty Johnson (NYJ)","43","209","4.9","34","0","1","14","19","76","5.4","1","0","12","47.5","4.0","10.8%"
"72","La'Mical Perine (NYJ)","64","232","3.6","20","0","2","11","15","63","5.7","0","0","10","47.0","4.7","8.3%"
"73","Dion Lewis (NYG)","28","108","3.9","19","0","2","19","29","127","6.7","1","2","15","47.0","3.1","1.9%"
"74","Ito Smith (ATL)","60","259","4.3","24","0","1","16","22","68","4.3","0","0","13","46.7","3.6","9.5%"
"75","Mark Ingram II (BAL)","63","260","4.1","30","0","2","6","8","50","8.3","0","0","10","46.0","4.6","32.0%"
"76","Darrel Williams (KC)","39","169","4.3","13","0","1","17","25","114","6.7","0","0","15","44.8","3.0","2.7%"
"77","Justin Jackson (LAC)","50","198","4.0","36","0","0","18","22","141","7.8","0","0","8","42.9","5.4","14.0%"
"78","Jalen Richard (LV)","22","123","5.6","20","0","1","19","23","138","7.3","0","0","13","41.6","3.2","1.9%"
"79","AJ Dillon (GB)","45","239","5.3","30","0","2","2","2","21","10.5","0","0","10","39.0","3.9","5.9%"
"80","Alfred Morris (NYG)","50","226","4.5","20","0","1","3","3","19","6.3","1","0","8","38.0","4.8","0.3%"
"81","Jeremy McNichols (TEN)","47","204","4.3","20","0","1","12","17","55","4.6","0","0","15","37.9","2.5","0.8%"
"82","Matt Breida (MIA)","59","254","4.3","24","0","0","9","10","96","10.7","0","1","10","37.5","3.8","18.1%"
"83","Chris Thompson (JAC)","7","20","2.9","5","0","0","20","23","146","7.3","1","0","8","32.6","4.1","3.3%"
"84","Devonta Freeman (NYG)","54","172","3.2","14","0","1","7","10","58","8.3","0","0","5","32.5","6.5","17.9%"
"85","Lynn Bowden Jr. (MIA)","8","39","4.9","11","0","0","20","25","167","8.4","0","0","9","30.6","3.4","19.9%"
"86","Jordan Howard (PHI)","35","60","1.7","11","0","4","1","1","-3","-3.0","0","0","7","30.2","4.3","15.0%"
"87","Royce Freeman (DEN)","33","149","4.5","23","0","0","11","12","80","7.3","0","0","15","28.4","1.9","1.8%"
"88","Travis Homer (SEA)","25","88","3.5","12","0","0","9","10","90","10.0","1","0","9","28.3","3.1","0.4%"
"89","JaMycal Hasty (SF)","39","148","3.8","20","0","1","7","8","33","4.7","0","0","8","27.6","3.5","3.9%"
